,Name,Length,Mean_ones_result,Toggles_count,Toggles_percentage,Longest_zeros_run,Longest_ones_run,Ratio_ones_to_zeros_run,Ground_truth
82,16265.csv,2646,0.07029478458049887,314,0.11871455576559546,112,3,0.026785714285714284,0
84,16272.csv,2643,0.6329928111993947,950,0.35957607872823616,17,55,3.235294117647059,0
94,16273.csv,2446,0.09403107113654947,382,0.15623721881390593,79,4,0.05063291139240506,0
86,16420.csv,2534,0.11247040252565114,456,0.1800236873272799,49,5,0.10204081632653061,0
83,16483.csv,2494,0.3067361668003208,808,0.3241075010028079,55,14,0.2545454545454545,0
91,16539.csv,2755,0.033756805807622504,178,0.06463326071169208,267,2,0.00749063670411985,0
97,16773.csv,2598,0.0781370284834488,364,0.14016172506738545,92,3,0.03260869565217391,0
85,16786.csv,2746,0.06991988346686089,330,0.12021857923497267,111,3,0.02702702702702703,0
87,16795.csv,2492,0.07825040128410915,328,0.13167402649538337,96,4,0.041666666666666664,0
89,17052.csv,2501,0.12634946021591364,396,0.1584,183,13,0.07103825136612021,0
92,17453.csv,2464,0.044237012987012984,200,0.08120178643930166,143,2,0.013986013986013986,0
98,18177.csv,2627,0.06775789874381424,286,0.10891089108910891,236,4,0.01694915254237288,0
96,18184.csv,2461,0.06785859406745226,288,0.11707317073170732,122,5,0.040983606557377046,0
93,19088.csv,2364,0.06260575296108291,264,0.1117223867964452,146,2,0.0136986301369863,0
88,19090.csv,2256,0.313386524822695,825,0.36585365853658536,45,11,0.24444444444444444,0
95,19093.csv,2367,0.23616392057456695,815,0.3444632290786137,44,6,0.13636363636363635,0
90,19140.csv,2366,0.03888419273034658,178,0.07526427061310782,152,3,0.019736842105263157,0
81,19830.csv,2468,0.330226904376013,950,0.38508309687880016,37,10,0.2702702702702703,0
4,m001.csv,95,0.3473684210526316,37,0.39361702127659576,13,6,0.46153846153846156,0
10,m002.csv,100,0.53,43,0.43434343434343436,4,6,1.5,0
6,m003.csv,100,0.51,47,0.47474747474747475,9,9,1.0,0
5,m004.csv,100,0.43,53,0.5353535353535354,7,5,0.7142857142857143,0
